X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,D,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,D,X
X,.,.,.,.,X,C,C,.,.,.,.,.,.,X,.,.,.,.,X,.,C,X,.,X
X,C,X,X,.,X,C,C,X,.,.,X,.,.,.,.,.,X,.,X,.,X,X,.,X
X,.,X,.,.,X,X,X,X,X,X,X,.,X,X,X,X,X,.,X,.,.,X,.,X
X,.,X,.,.,.,.,.,.,.,.,X,.,.,.,X,.,.,.,X,.,.,C,.,X
X,.,X,.,X,X,X,X,X,X,.,X,.,X,.,X,.,X,X,X,C,X,X,X,X
X,C,X,C,X,C,C,C,C,X,.,.,.,X,C,X,.,.,.,X,.,.,.,.,X
X,.,X,X,X,.,X,X,.,X,X,X,.,X,X,X,X,X,.,X,X,X,X,.,X
X,.,.,.,.,E,.,.,.,.,.,X,C,.,.,.,.,X,.,.,.,X,C,.,X
X,X,X,X,X,X,X,X,X,X,.,X,X,X,X,X,X,X,X,X,.,X,X,.,X
X,.,.,C,.,.,.,X,C,X,.,.,.,.,.,X,C,.,.,.,.,X,C,.,X
X,.,X,X,X,X,.,X,.,X,X,.,.,X,.,X,.,.,.,X,X,X,X,.,X
X,.,.,.,.,X,C,X,.,.,X,C,.,X,.,X,.,X,X,X,.,.,.,E,X
X,X,X,X,.,X,.,X,X,.,X,X,.,X,.,X,.,.,.,X,.,X,.,.,X
X,C,.,.,E,X,.,.,.,.,.,.,.,X,.,X,X,X,.,X,.,X,.,.,X
X,X,,X,.,X,X,X,.,X,X,X,X,X,.,X,.,.,.,X,.,X,.,X,X
X,.,.,X,.,.,.,X,.,X,.,.,.,X,.,X,.,X,X,X,.,X,C,C,X
X,P,.,X,C,X,.,.,.,X,C,X,C,.,.,X,.,.,C,.,.,X,C,C,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
