X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,D,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,D,X
X,P,X,.,.,.,X,.,.,.,C,X,.,.,.,X,.,C,X,.,.,.,X,.,X
X,.,X,.,X,.,X,.,X,.,.,X,.,X,.,X,.,.,X,.,X,.,X,C,X
X,.,X,.,X,C,X,.,X,C,.,.,.,X,.,X,E,.,X,C,X,.,.,.,X
X,.,C,.,X,.,X,.,X,X,X,X,X,X,.,X,X,.,X,.,X,X,X,X,X
X,X,X,X,X,.,X,.,X,,,X,C,X,.,.,X,.,X,.,.,.,.,.,X
X,.,.,.,.,.,.,.,X,,,X,.,X,X,.,X,.,X,X,X,X,X,.,X
X,E,.,X,X,.,X,X,X,,X,X,.,.,X,E,.,.,.,.,.,.,.,.,X
X,.,.,X,,,,,,,,X,.,.,.,.,X,X,X,X,X,X,X,.,X
X,.,.,X,,X,X,X,X,x,X,X,X,X,X,X,X,.,.,.,.,.,X,.,X
X,.,E,.,,X,C,X,.,.,.,X,,,,X,C,.,X,X,X,.,X,.,X
X,X,X,.,X,X,.,X,.,X,.,X,C,X,,X,X,.,X,C,.,.,X,C,X
X,C,X,.,X,.,.,.,.,X,.,X,X,X,,X,.,.,X,X,X,.,X,.,X
X,.,X,.,X,.,X,X,X,X,E,.,.,.,,X,C,.,.,.,X,.,X,.,X
X,.,.,.,X,.,.,.,.,X,.,X,X,.,X,X,X,X,X,.,X,.,X,C,X
X,X,X,.,X,.,X,.,X,X,.,X,.,.,X,.,.,.,X,.,X,.,X,.,X
X,.,.,.,E,.,X,C,C,X,.,X,.,X,X,.,X,.,X,.,X,.,X,.,X
X,C,X,.,X,.,X,C,C,X,C,X,.,.,.,.,X,.,.,.,X,.,.,.,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
